Link,OffDocTopic,GOVUK Topic
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Council housing,Local government
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Economic development,Trade and investment
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Housing associations,Housing
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Housing exchanges and transfers,Housing
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Housing,Housing
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Law,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Legislation,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Local government,Local government
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Regeneration,Planning and building
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Social housing,Housing
http://www.official-documents.gov.uk/document/cm86/8686/8686.asp ,Disability,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm86/8686/8686.asp ,Physical disability,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm86/8687/8687.asp ,Defence equipment and supplies,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8687/8687.asp ,Defence policy,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8687/8687.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/cm86/8688/8688.asp ,Information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8688/8688.asp ,National security,National security
http://www.official-documents.gov.uk/document/cm86/8688/8688.asp ,Personal security,Foreign affairs
http://www.official-documents.gov.uk/document/cm86/8688/8688.asp ,Security,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8690/8690.asp ,Immigration and nationality,Borders and immigration
http://www.official-documents.gov.uk/document/cm86/8692/8692.asp ,Crime and law enforcement,Crime and policing
http://www.official-documents.gov.uk/document/cm86/8692/8692.asp ,Crime,Crime and policing
http://www.official-documents.gov.uk/document/cm86/8692/8692.asp ,Dismissal,Employment
http://www.official-documents.gov.uk/document/cm86/8692/8692.asp ,Emergencies,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8692/8692.asp ,Emergency services,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8692/8692.asp ,Police,Crime and policing
http://www.official-documents.gov.uk/document/cm86/8692/8692.asp ,Termination of employment,Employment
http://www.official-documents.gov.uk/document/cm86/8693/8693.asp ,European affairs,Europe
http://www.official-documents.gov.uk/document/cm86/8694/8694.asp ,Devolved administrations,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8694/8694.asp ,Labour market,Employment
http://www.official-documents.gov.uk/document/cm86/8694/8694.asp ,Scottish Executive,Scotland
http://www.official-documents.gov.uk/document/cm86/8694/8694.asp ,Scottish economy,Scotland
http://www.official-documents.gov.uk/document/cm86/8694/8694.asp ,UK economy,UK economy
http://www.official-documents.gov.uk/document/cm86/8695/8695.asp ,"Public order, justice and rights",Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8695/8695.asp ,Business development,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8695/8695.asp ,Civil and human rights,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm86/8695/8695.asp ,Companies,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8695/8695.asp ,Employment regulations,Employment
http://www.official-documents.gov.uk/document/cm86/8695/8695.asp ,Employment rights,Employment
http://www.official-documents.gov.uk/document/cm86/8695/8695.asp ,Regulation and deregulation,Regulation reform
http://www.official-documents.gov.uk/document/cm86/8695/8695.asp ,Trade unions,Employment
http://www.official-documents.gov.uk/document/cm86/8696/8696.asp ,Climate and weather,Climate change
http://www.official-documents.gov.uk/document/cm86/8696/8696.asp ,Environment,Environment
http://www.official-documents.gov.uk/document/cm86/8696/8696.asp ,Environmental protection,Environment
http://www.official-documents.gov.uk/document/cm86/8696/8696.asp ,Legislation,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8697/8697.asp ,Defence equipment and supplies,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8697/8697.asp ,Fire,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8697/8697.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/cm86/8697/8697.asp ,Tax credits,Tax and revenue
http://www.official-documents.gov.uk/document/cm86/8697/8697.asp ,Tax,Tax and revenue
http://www.official-documents.gov.uk/document/cm86/8699/8699.asp ,Information and communication technology,Media and communications
http://www.official-documents.gov.uk/document/cm87/8700/8700.asp ,Charities,Community and society
http://www.official-documents.gov.uk/document/cm87/8700/8700.asp ,Public administration,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm87/8701/8701.asp ,Women,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm87/8702/8702.asp ,Prisons,Law and the justice system
http://www.official-documents.gov.uk/document/cm87/8703/8703.asp ,"Public order, justice and rights",Law and the justice system
http://www.official-documents.gov.uk/document/cm87/8703/8703.asp ,Investment,Trade and investment
http://www.official-documents.gov.uk/document/cm87/8703/8703.asp ,Justice system,Law and the justice system
http://www.official-documents.gov.uk/document/cm87/8703/8703.asp ,Law,Law and the justice system
http://www.official-documents.gov.uk/document/cm87/8703/8703.asp ,Legal proceedings,Law and the justice system
http://www.official-documents.gov.uk/document/cm87/8703/8703.asp ,Legal services,Law and the justice system
http://www.official-documents.gov.uk/document/cm87/8704/8704.asp ,Benefits for parents and children,Welfare
http://www.official-documents.gov.uk/document/cm87/8704/8704.asp ,Benefits,Welfare
http://www.official-documents.gov.uk/document/cm87/8704/8704.asp ,Tax credits,Tax and revenue
http://www.official-documents.gov.uk/document/cm87/8704/8704.asp ,Work related benefits,Employment
http://www.official-documents.gov.uk/document/cm87/8705/8705.asp ,Child care,Children and young people
http://www.official-documents.gov.uk/document/cm87/8705/8705.asp ,Child protection,Children and young people
http://www.official-documents.gov.uk/document/cm87/8705/8705.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Climate and weather,Climate change
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Communication skills,Media and communications
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Communication,Media and communications
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Consultation,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Environmental protection,Environment
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Freedom of information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Information and communication,Media and communications
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Investment,Trade and investment
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Legislation,Law and the justice system
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Physical disability,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Privacy and data protection,Law and the justice system
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Skills and competences,Further education and skills
http://www.official-documents.gov.uk/document/cm87/8706/8706.asp ,Stakeholders,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm87/8707/8707.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm87/8707/8707.asp ,Defence policy,Defence and armed forces
http://www.official-documents.gov.uk/document/cm87/8707/8707.asp ,Defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm87/8707/8707.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/cm87/8708/8708.asp ,Ambulance services,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm87/8708/8708.asp ,Emergency services,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm87/8708/8708.asp ,Health and safety investigations,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm87/8708/8708.asp ,Health and safety policies,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm87/8708/8708.asp ,Health policies and strategies,National Health Service
http://www.official-documents.gov.uk/document/cm87/8708/8708.asp ,Mental health,Public health
http://www.official-documents.gov.uk/document/cm87/8708/8708.asp ,National Health Service (NHS),National Health Service
http://www.official-documents.gov.uk/document/cm87/8708/8708.asp ,Secondary health care,National Health Service
http://www.official-documents.gov.uk/document/cm87/8709/8709.asp ,Communication,Media and communications
http://www.official-documents.gov.uk/document/cm87/8709/8709.asp ,Consultation,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm87/8709/8709.asp ,Road transport,Transport
http://www.official-documents.gov.uk/document/cm87/8709/8709.asp ,Traffic management,Transport
http://www.official-documents.gov.uk/document/cm87/8710/8710.asp ,Communication,Media and communications
http://www.official-documents.gov.uk/document/cm87/8710/8710.asp ,Consultation,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm87/8710/8710.asp ,Information and communication,Media and communications
